pl,lac
Klon zwyczajny,Acer platanoides 'Holata'
Klon jawor,Acer pseudoplatanus 'Esk Sunset'
Brzoza pożyteczna,Betula utilis 'Doorendos'
Grab pospolity,Carpinus betulus 'Fastigiata'
Buk pospolity,Fagus sylvatica 'Dawyck Gold'
Buk pospolity,Fagus sylvatica 'Purple Fontain'
Buk pospolity,Fagus sylvatica 'Purpurea Pendula'
Buk pospolity,Fagus sylvatica 'Rohan Obelisk'
Buk pospolity,Fagus sylvatica 'Tricolor'
Miłorząb dwuklapowy,Ginkgo biloba 'Mariken'
Ambrowiec amerykański,Liquidambar styraciflua 'Aurea'
Tulipanowiec amerykański,Liriodendron tulipifera 'Aureomarginatum'
Tulipanowiec amerykański,Liriodendron tulipifera 'Ryki'
Platan klonolistny,Platanus xhispanica 'Alphen's Globe'
Wiśnia osobliwa,Prunus eminens 'Umbraculifera'
Jarząb pospolity,Sorbus aucuparia 'Fastigiata'
